Category,Description,Caption,Shape,BGColour,BDColour,Text,Symbol1,Symbol2,DGNo,JPG,EPS,PDF
Warning signs,Adverse camber on a bend or roundabout,Adverse camber on a bend or roundabout,Rectangular,White,Grey/Black,Other,None,None,513.1,513.1.jpg,513.1.eps,513.1.pdf
Warning signs,Bend ahead to the left,Bend ahead to the left,Triangular,White,Red,None,Arrow,None,512,512L.jpg,512L.eps,512L.pdf
"Warning signs, Speed limit signs",Bend ahead to the right,Bend ahead to the right,Triangular,White,Red,None,Arrow,None,512,512.jpg,512.eps,512.pdf
Warning signs,Crossroads ahead,Crossroads ahead,Triangular,White,Red,None,Arrow,None,504.1,504.1.jpg,504.1.eps,504.1.pdf
Warning signs,Crossroads ahead,Crossroads ahead,Triangular,White,Red,None,Arrow,None,504.1,504.1R.jpg,504.1R.eps,504.1R.pdf
Warning signs,Crossroads ahead,Crossroads ahead,Triangular,White,Red,None,Arrow,None,504.1,504.1L.jpg,504.1L.eps,504.1L.pdf
Warning signs,"Double bend or series of bends ahead, first to the left","Double bend or series of bends ahead, first to the left",Triangular,White,Red,None,Arrow,None,513,513.jpg,513.eps,513.pdf
Warning signs,"Double bend or series of bends ahead, first to the right","Double bend or series of bends ahead, first to the right",Triangular,White,Red,None,Arrow,None,513,513R.jpg,513R.eps,513R.pdf
Warning signs,Junction ahead controlled by a STOP or GIVE WAY sign,Junction ahead controlled by a STOP or GIVE WAY sign,Triangular,White,Red,None,None,None,501,501.jpg,501.eps,501.pdf
Warning signs,50 yards to junction ahead controlled by a GIVE WAY sign,50 yards to junction ahead controlled by a GIVE WAY sign,Rectangular,White,Grey/Black,Number (Distance),None,None,503,503.jpg,503.eps,503.pdf
Warning signs,Junction on left bend ahead,Junction on left bend ahead,Triangular,White,Red,None,Arrow,None,512.2,512.2L.jpg,512.2L.eps,512.2L.pdf
Warning signs,Junction on right bend ahead,Junction on right bend ahead,Triangular,White,Red,None,Arrow,None,512.1,512.1.jpg,512.1.eps,512.1.pdf
Warning signs,Junction on left bend ahead,Junction on left bend ahead,Triangular,White,Red,None,Arrow,None,512.1,512.1L.jpg,512.1L.eps,512.1L.pdf
Warning signs,Junction on right bend ahead,Junction on right bend ahead,Triangular,White,Red,None,Arrow,None,512.2,512.2.jpg,512.2.eps,512.2.pdf
Warning signs,Traffic signals ahead that only operate at certain times,Traffic signals ahead that only operate at certain times,Rectangular,White,Grey/Black,Other,None,None,543.1,543.1.jpg,543.1.eps,543.1.pdf
Warning signs,Roundabout,Roundabout,Triangular,White,Red,None,Arrow,None,510,510.jpg,510.eps,510.pdf
Warning signs,Side road ahead (right),Side road ahead (right),Triangular,White,Red,None,Arrow,None,506.1,506.1.jpg,506.1.eps,506.1.pdf
